date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude
August-12-2019,condo,289 Windsor St #3,Cambridge,02139,1250000,3,2,Cambridge,1302,,2017,165,http://www.redfin.com/MA/Cambridge/289-291-Windsor-St-02139/unit-3/home/142946925,72524030,42.368439,-71.095305
August-13-2019,condo,253 Norfolk St Unit 1-1,Cambridge,02139,640000,1,1,Inman Square,629,,1875,343,http://www.redfin.com/MA/Cambridge/253-Norfolk-St-02139/unit-11/home/11548612,72523208,42.3706016,-71.0979696
August-14-2019,condo,43 Linnaean St #32,Cambridge,02138,700000,1,1,Avon Hill,993,,1922,634,http://www.redfin.com/MA/Cambridge/43-Linnaean-St-02138/unit-32/home/11584994,72514600,42.3834946,-71.1239134
August-14-2019,townhouse,6 Sherman St Unit B,Cambridge,02138,789000,2,1.5,Cambridge,1220,,1982,388,http://www.redfin.com/MA/Cambridge/6-Sherman-St-02138/unit-B/home/11584671,72471946,42.3844523,-71.129466
August-15-2019,condo,6 Canal Park #310,Cambridge,02141,1200000,3,2,East Cambridge,1420,,1986,816,http://www.redfin.com/MA/Cambridge/6-Canal-Park-02141/unit-310/home/11550404,72502793,42.3696481,-71.0749309
August-15-2019,townhouse,85 Standish St #85,Cambridge,02138,1740000,4,3.5,Cambridge,2105,,2019,216,http://www.redfin.com/MA/Cambridge/85-Standish-St-02138/unit-85/home/167107673,72520930,42.3835433,-71.1393853
August-16-2019,condo,8 Museum Way #510,Cambridge,02141,570000,1,1,East Cambridge,661,,1998,594,http://www.redfin.com/MA/Cambridge/8-Museum-Way-02141/unit-510/home/11603406,72507424,42.3700991,-71.0716742
August-16-2019,condo,29 Wheeler St #108,Cambridge,02138,515000,1,1,Cambridge,680,,2008,255,http://www.redfin.com/MA/Cambridge/29-Wheeler-St-02138/unit-108/home/28439690,72535895,42.3891794,-71.144306
August-16-2019,condo,304 Washington St #6,Cambridge,02139,830000,3,1,Cambridge,1018,,1895,250,http://www.redfin.com/MA/Cambridge/304-Washington-St-02139/unit-6/home/11555714,72525639,42.3651515,-71.0981715
August-19-2019,condo,28 Bradbury St Unit B,Cambridge,02138,1375000,3,2.5,Cambridge,2007,,1960,1754,http://www.redfin.com/MA/Cambridge/28-Bradbury-St-02138/unit-B/home/163387635,72535864,42.3754435,-71.1304784
August-19-2019,condo,18 Sargent St #18,Cambridge,02140,980000,3,2,North Cambridge,1635,,1900,270,http://www.redfin.com/MA/Cambridge/18-Sargent-St-02140/unit-18/home/145685363,72507827,42.3925351,-71.1318664
August-19-2019,condo,578 Cambridge St Unit 3F,Cambridge,02141,426000,1,1,East Cambridge,465,,1964,208,http://www.redfin.com/MA/Cambridge/578-Cambridge-St-02141/unit-3F/home/11602046,72522040,42.3717198,-71.0859854
August-2-2019,condo,1580 Massachusetts Ave Unit 6D,Cambridge,02138,850000,2,2,Harvard Square,972,,1978,412,http://www.redfin.com/MA/Cambridge/1580-Massachusetts-Ave-02138/unit-6D/home/11576497,72508360,42.3792189,-71.1206208
August-2-2019,multifamily,422 Norfolk St,Somerville,02143,1560000,10,4,Somerville,4062,3028,1900,,http://www.redfin.com/MA/Somerville/422-Norfolk-St-02143/home/8738747,72476399,42.374443,-71.095207
August-2-2019,townhouse,32 Sciarappa St #2,Cambridge,02141,575000,2,2,East Cambridge,858,,1900,263,http://www.redfin.com/MA/Cambridge/32-Sciarappa-St-02141/unit-2/home/23429848,72513505,42.3702938,-71.0785327
August-20-2019,condo,599 Cambridge St #101,Cambridge,02141,700000,2,2,East Cambridge,968,,1986,480,http://www.redfin.com/MA/Cambridge/599-Cambridge-St-02141/unit-101/home/11554127,72521888,42.3719922,-71.0863642
August-20-2019,condo,5 Tannery Brook Row #2,Somerville,02144,699000,2,1,Davis Square,948,,2004,267,http://www.redfin.com/MA/Somerville/5-Tannery-Brook-Row-02144/unit-2/home/12296143,72487075,42.3978459,-71.1278284
August-20-2019,condo,395 Huron Ave #2,Cambridge,02138,1240000,4,2.5,West Cambridge,2136,,1880,220,http://www.redfin.com/MA/Cambridge/395-Huron-Ave-02138/unit-2/home/11590536,72517464,42.3811461,-71.1397649
August-20-2019,townhouse,87 Standish St #87,Cambridge,02138,1575000,3,3.5,Cambridge,1778,,2019,216,http://www.redfin.com/MA/Cambridge/87-Standish-St-02138/unit-87/home/167107664,72520929,42.3835895,-71.1394015
August-21-2019,condo,3 Hancock Pl #1,Cambridge,02139,665000,1,1,Mid Cambridge,765,,1890,150,http://www.redfin.com/MA/Cambridge/3-Hancock-Pl-02139/unit-1/home/12427942,72539223,42.3695919,-71.1071289
August-21-2019,condo,38 Winter St #38,Cambridge,02141,535000,2,2,Cambridge,736,,1900,254,http://www.redfin.com/MA/Cambridge/38-Winter-St-02141/unit-38/home/167088028,72518182,42.3725153,-71.0810115
August-21-2019,condo,2 Earhart St #937,Cambridge,02141,895000,1,1.5,Cambridge,920,920,2006,699,http://www.redfin.com/MA/Cambridge/2-Earhart-St-02141/unit-937/home/28439925,72523026,42.3710164,-71.0742685
